indicator,gender,ageMonths,L,M,S,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
LENGTH_HEIGHT_FOR_AGE,FEMALE,59,1,108.8948,0.04334,94.7,99.5,104.2,108.9,113.6,118.3,123.1
LENGTH_HEIGHT_FOR_AGE,FEMALE,60,1,109.4233,0.04347,95.2,99.9,104.7,109.4,114.2,118.9,123.7
LENGTH_HEIGHT_FOR_AGE,MALE,0,1,49.8842,0.03795,44.2,46.1,48,49.9,51.8,53.7,55.6
LENGTH_HEIGHT_FOR_AGE,MALE,1,1,54.7244,0.03557,48.9,50.8,52.8,54.7,56.7,58.6,60.6
LENGTH_HEIGHT_FOR_AGE,MALE,2,1,58.4249,0.03424,52.4,54.4,56.4,58.4,60.4,62.4,64.4
LENGTH_HEIGHT_FOR_AGE,MALE,3,1,61.4292,0.03328,55.3,57.3,59.4,61.4,63.5,65.5,67.6
LENGTH_HEIGHT_FOR_AGE,MALE,4,1,63.886,0.03257,57.6,59.7,61.8,63.9,66,68,70.1
LENGTH_HEIGHT_FOR_AGE,MALE,5,1,65.9026,0.03204,59.6,61.7,63.8,65.9,68,70.1,72.2
LENGTH_HEIGHT_FOR_AGE,MALE,6,1,67.6236,0.03165,61.2,63.3,65.5,67.6,69.8,71.9,74
LENGTH_HEIGHT_FOR_AGE,MALE,7,1,69.1645,0.03139,62.7,64.8,67,69.2,71.3,73.5,75.7
LENGTH_HEIGHT_FOR_AGE,MALE,8,1,70.5994,0.03124,64,66.2,68.4,70.6,72.8,75,77.2
LENGTH_HEIGHT_FOR_AGE,MALE,9,1,71.9687,0.03117,65.2,67.5,69.7,72,74.2,76.5,78.7
LENGTH_HEIGHT_FOR_AGE,MALE,10,1,73.2812,0.03118,66.4,68.7,71,73.3,75.6,77.9,80.1
LENGTH_HEIGHT_FOR_AGE,MALE,11,1,74.5388,0.03125,67.6,69.9,72.2,74.5,76.9,79.2,81.5
LENGTH_HEIGHT_FOR_AGE,MALE,12,1,75.7488,0.03137,68.6,71,73.4,75.7,78.1,80.5,82.9
LENGTH_HEIGHT_FOR_AGE,MALE,13,1,76.9186,0.03154,69.6,72.1,74.5,76.9,79.3,81.8,84.2
LENGTH_HEIGHT_FOR_AGE,MALE,14,1,78.0497,0.03174,70.6,73.1,75.6,78,80.5,83,85.5
LENGTH_HEIGHT_FOR_AGE,MALE,15,1,79.1458,0.03197,71.6,74.1,76.6,79.1,81.7,84.2,86.7
LENGTH_HEIGHT_FOR_AGE,MALE,16,1,80.2113,0.03222,72.5,75,77.6,80.2,82.8,85.4,88
LENGTH_HEIGHT_FOR_AGE,MALE,17,1,81.2487,0.0325,73.3,76,78.6,81.2,83.9,86.5,89.2
LENGTH_HEIGHT_FOR_AGE,MALE,18,1,82.2587,0.03279,74.2,76.9,79.6,82.3,85,87.7,90.4
LENGTH_HEIGHT_FOR_AGE,MALE,19,1,83.2418,0.0331,75,77.7,80.5,83.2,86,88.8,91.5
LENGTH_HEIGHT_FOR_AGE,MALE,20,1,84.1996,0.03342,75.8,78.6,81.4,84.2,87,89.8,92.6
LENGTH_HEIGHT_FOR_AGE,MALE,21,1,85.1348,0.03376,76.5,79.4,82.3,85.1,88,90.9,93.8
LENGTH_HEIGHT_FOR_AGE,MALE,22,1,86.0477,0.0341,77.2,80.2,83.1,86,89,91.9,94.9
LENGTH_HEIGHT_FOR_AGE,MALE,23,1,86.941,0.03445,78,81,83.9,86.9,89.9,92.9,95.9
